Tx Message Count                                            , "Number of UDP messages sent by device"                             , 2                                                                                                                                                                                                                    , 1                                                                                                                                                                                                                                , 1                                                                                                                                                                                                                      , 2                                                                                  , 10                                                                                                                                                                          , 1                                       , 14
Rx Message Count                                            , "Number of UDP messages received by device"                         , 2                                                                                                                                                                                                                    , 1                                                                                                                                                                                                                                , 1                                                                                                                                                                                                                      , 2                                                                                  , 0                                                                                                                                                                           , 0                                       , 5

==ENERGY METRICS (Energy Model: CPU=2.5W; Net=2e-6 J/byte)==,                                                                     ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                        ,                                                                                    ,                                                                                                                                                                             , 
CPU Energy (J)                                              , "Computation energy = CPU_Time_s × 2.5 W"                           , 0.006685                                                                                                                                                                                                             , 0.0008050                                                                                                                                                                                                                        , 0.0006625                                                                                                                                                                                                              , 0.0014675                                                                          , 0.017165                                                                                                                                                                    , 0.0017165                               , 0.025319
Network Energy (J)                                          , "Communication energy = Total_Bytes × 2×10⁻⁶ J/byte"                , 0.000654                                                                                                                                                                                                             , 0.000400                                                                                                                                                                                                                         , 0.000384                                                                                                                                                                                                               , 0.000784                                                                           , 0.002480                                                                                                                                                                    , 0.000248                                , 0.003918
Total Energy (J)                                            , "CPU Energy + Network Energy"                                       , 0.007339                                                                                                                                                                                                             , 0.001205                                                                                                                                                                                                                         , 0.001047                                                                                                                                                                                                               , 0.002252                                                                           , 0.019645                                                                                                                                                                    , 0.0019645                               , 0.029235
CPU Energy Share (%)                                        , "CPU energy as % of total phase energy"                             , 91.09%                                                                                                                                                                                                               , 66.79%                                                                                                                                                                                                                           , 63.28%                                                                                                                                                                                                                 , 65.17%                                                                             , 87.38%                                                                                                                                                                      , 87.38%                                  , 86.60%
Network Energy Share (%)                                    , "Network energy as % of total phase energy"                         , 8.91%                                                                                                                                                                                                                , 33.21%                                                                                                                                                                                                                           , 36.72%                                                                                                                                                                                                                 , 34.83%                                                                             , 12.62%                                                                                                                                                                      , 12.62%                                  , 13.40%

==SUMMARY TABLE==                                           ,                                                                     ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                        ,                                                                                    ,                                                                                                                                                                             , 
Wall Time (s)                                               , Elapsed time per phase                                              , 0.1334                                                                                                                                                                                                               , 0.0038                                                                                                                                                                                                                           , 0.0032                                                                                                                                                                                                                 , 0.0071                                                                             , 30.0078                                                                                                                                                                     , 3.0008                                  , 30.1482
CPU Time (s)                                                , Compute time per phase                                              , 0.002674                                                                                                                                                                                                             , 0.000322                                                                                                                                                                                                                         , 0.000265                                                                                                                                                                                                               , 0.000587                                                                           , 0.006866                                                                                                                                                                    , 0.000687                                , 0.010127
Total Bytes (B)                                             , Communication per phase                                             , 327                                                                                                                                                                                                                  , 200                                                                                                                                                                                                                              , 192                                                                                                                                                                                                                    , 392                                                                                , 1240                                                                                                                                                                        , 124                                     , 1959
Total Energy (J)                                            , Energy per phase                                                    , 0.007339                                                                                                                                                                                                             , 0.001205                                                                                                                                                                                                                         , 0.001047                                                                                                                                                                                                               , 0.002252                                                                           , 0.019645                                                                                                                                                                    , 0.001965                                , 0.029235
